sample_10991,,Low
sample_10863,,Low
sample_10870,,Low
sample_10994,,Low
sample_10998,,Low
sample_10913,,Low
sample_10814,,Low
sample_11071,,Low
sample_10826,,Low
sample_10825,,Low
sample_10875,,Low
sample_10777,,Low
sample_10800,,Low
sample_10893,,Low
sample_10852,,Low
sample_10742,,Low
sample_10941,,Low
sample_10881,,Low
sample_10827,,Low
sample_10753,,Low
sample_10929,,Low
sample_10845,,Low
sample_10899,,Low
sample_10890,,Low
sample_11065,,Low
sample_11030,,Low
sample_10824,,Low
sample_10859,,Low
sample_11126,,High
sample_10922,,High
sample_11132,,High
sample_11026,,High
sample_10935,,High
sample_11045,,High
sample_10973,,High
sample_11147,,High
sample_10976,,High
sample_10985,,High
sample_10896,,High
sample_10921,,High
sample_10903,,High
sample_10782,,High
sample_10916,,High
sample_10746,,High
sample_10874,,High
sample_10792,,High
sample_10911,,High
sample_10882,,High
sample_10840,,High
sample_10955,,High
sample_10920,,High
sample_10846,,High
sample_11032,,High
sample_10736,,High
sample_11014,,High
sample_10960,,High
sample_10832,,High
sample_11048,,High
