"","logFC","logCPM","LR","PValue","FDR"
"SAA2",-0.505797580645264,2.66530180789894,2.14132548715145,0.143377962523206,0.298061420537917
"MYH11",-0.573412403916344,11.6128182105958,27.6839460101727,1.42843254029436e-07,5.76448664738079e-06
"RERGL",-0.0431025140987319,0.748418071253314,0.0890642907019696,0.765370103397927,0.864487081340274
"SOCS3",-0.28279735244851,6.49767964921472,3.00418269543582,0.0830498529382775,0.204220949848223
"PLA2G2A",0.323914485575097,10.6508969619613,1.9596914405239,0.16154632218969,0.322727292727236
"SLC2A1",-0.0266116624699242,5.80690032400028,0.292499325012187,0.58862333783051,0.739499926635991
"GPR34",0.371231315497384,2.08610535962321,16.2668548478877,5.50179802618453e-05,0.000812423946413851
"CLDN1",0.138055183016716,5.29946315991003,1.08067248340507,0.298547165585542,0.481478844995448
"PCDH10",-0.0421517583932971,4.57245120612921,0.201429783766685,0.6535692325515,0.78842886707638
"SELE",-0.236198896570262,4.44709681042672,1.51363670794831,0.218584994579114,0.393329949702364
"OLFM4",0.131064706971541,7.40483708625683,0.317979814363468,0.572824239243846,0.727410382874942
"KIF25",0.219259769476287,-0.575674179940658,1.43156335637275,0.231509467289212,0.409028829456818
